Timestamp,Username,Message
2023-06-29 19:31:01.103000+00:00,diltondev,"Please find previous relevant chat history here: https://discord.com/channels/1053437826424897658/1103185605036359791"
2023-06-29 19:31:03.884000+00:00,diltondev,...
